Initializing V620 PPO Trainer...
ROCm GPU detected: AMD Radeon PRO V620
Training server listening on port 5555
Episode finished | Reward: -158.87 | Avg (100): -158.87
Episode finished | Reward: -4.71 | Avg (100): -81.79
Episode finished | Reward: -12.86 | Avg (100): -58.81
Episode finished | Reward: -4.95 | Avg (100): -45.35
Episode finished | Reward: -72.52 | Avg (100): -50.78
Episode finished | Reward: -5.01 | Avg (100): -43.15
Episode finished | Reward: -5.01 | Avg (100): -37.70
Episode finished | Reward: -5.01 | Avg (100): -33.62
Episode finished | Reward: -5.01 | Avg (100): -30.44
Episode finished | Reward: -5.01 | Avg (100): -27.89
Episode finished | Reward: -5.01 | Avg (100): -25.81
Episode finished | Reward: -5.01 | Avg (100): -24.08
Episode finished | Reward: -5.01 | Avg (100): -22.61
Episode finished | Reward: -5.01 | Avg (100): -21.36
Episode finished | Reward: -5.08 | Avg (100): -20.27
Episode finished | Reward: -5.34 | Avg (100): -19.34
Episode finished | Reward: -5.32 | Avg (100): -18.51
Episode finished | Reward: -6.47 | Avg (100): -17.84
Episode finished | Reward: -7.26 | Avg (100): -17.29
Episode finished | Reward: -7.23 | Avg (100): -16.79
Episode finished | Reward: -6.42 | Avg (100): -16.29
Episode finished | Reward: -5.49 | Avg (100): -15.80
Episode finished | Reward: -5.14 | Avg (100): -15.34
Episode finished | Reward: -5.01 | Avg (100): -14.91
Episode finished | Reward: -5.01 | Avg (100): -14.51
Episode finished | Reward: -5.01 | Avg (100): -14.15
Episode finished | Reward: -5.01 | Avg (100): -13.81
Episode finished | Reward: -5.01 | Avg (100): -13.49
Episode finished | Reward: -5.01 | Avg (100): -13.20
Episode finished | Reward: -5.01 | Avg (100): -12.93
Episode finished | Reward: -5.01 | Avg (100): -12.67
Episode finished | Reward: -5.01 | Avg (100): -12.43
Episode finished | Reward: -5.01 | Avg (100): -12.21
Episode finished | Reward: -5.01 | Avg (100): -12.00
Episode finished | Reward: -5.01 | Avg (100): -11.80
Episode finished | Reward: -5.01 | Avg (100): -11.61
